# t x1 y1 x2 y2 error_x error_y
206.0400000000 17.6687695142 4.4291009644 17.6687696116 4.4291009594 0.0000000974 0.0000000050
206.0500000000 17.7675429161 4.4215273701 17.7675430140 4.4215273654 0.0000000979 0.0000000047
206.0600000000 17.8670007598 4.4142948586 17.8670008583 4.4142948543 0.0000000985 0.0000000043
206.0700000000 17.9671422197 4.4074040586 17.9671423187 4.4074040546 0.0000000990 0.0000000040
206.0800000000 18.0679663654 4.4008556608 18.0679664649 4.4008556571 0.0000000995 0.0000000036
206.0900000000 18.1694721586 4.3946504185 18.1694722586 4.3946504152 0.0000001000 0.0000000033
206.1000000000 18.2716584496 4.3887891489 18.2716585502 4.3887891459 0.0000001006 0.0000000030
206.1100000000 18.3745239739 4.3832727332 18.3745240750 4.3832727306 0.0000001011 0.0000000026
206.1200000000 18.4780673482 4.3781021183 18.4780674497 4.3781021160 0.0000001016 0.0000000023
206.1300000000 18.5822870668 4.3732783171 18.5822871689 4.3732783152 0.0000001021 0.0000000020
206.1400000000 18.6871814981 4.3688024098 18.6871816007 4.3688024082 0.0000001026 0.0000000016
206.1500000000 18.7927488804 4.3646755443 18.7927489836 4.3646755431 0.0000001031 0.0000000013
206.1600000000 18.8989873183 4.3608989379 18.8989874219 4.3608989370 0.0000001036 0.0000000009
206.1700000000 19.0058947782 4.3574738776 19.0058948823 4.3574738770 0.0000001041 0.0000000006
206.1800000000 19.1134690847 4.3544017212 19.1134691893 4.3544017209 0.0000001046 0.0000000002
206.1900000000 19.2217079160 4.3516838987 19.2217080211 4.3516838987 0.0000001051 0.0000000001
206.2000000000 19.3306087999 4.3493219127 19.3306089054 4.3493219131 0.0000001056 0.0000000004
206.2100000000 19.4401691093 4.3473173399 19.4401692153 4.3473173407 0.0000001061 0.0000000008
206.2200000000 19.5503860578 4.3456718320 19.5503861644 4.3456718331 0.0000001065 0.0000000011
206.2300000000 19.6612566954 4.3443871166 19.6612568024 4.3443871181 0.0000001070 0.0000000015
206.2400000000 19.7727779032 4.3434649985 19.7727780106 4.3434650003 0.0000001075 0.0000000018
206.2500000000 19.8849463894 4.3429073606 19.8849464973 4.3429073628 0.0000001079 0.0000000022
206.2600000000 19.9977586842 4.3427161652 19.9977587926 4.3427161677 0.0000001084 0.0000000025
206.2700000000 20.1112111348 4.3428934549 20.1112112437 4.3428934578 0.0000001088 0.0000000029
